"scenario","noise_regime","trials_per_condition","snr","regime_label","scale","metric","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications"
"broad_coherent","heteroskedastic",6,0,"null",1.01,"coherent",0,0.00621535328729306,0.0819108825874897,-0.119658720350745,0.212031134364916,48,48
"broad_coherent","heteroskedastic",6,0,"null",1.01,"configuration",0,0.0127205107440325,0.102546496616901,-0.154222657609779,0.20185085953429,48,48
"broad_coherent","heteroskedastic",6,0,"null",1.01,"coherent_share",NA,0.45008904606489,2.33025060374166,-3.48215518679226,5.64445792555655,48,48
"broad_coherent","heteroskedastic",6,0,"null",2.01,"activation",0,0.0121980206355587,0.0642197132389943,-0.11179846014101,0.117519660738885,48,48
"broad_coherent","heteroskedastic",6,0,"null",2.01,"aggregate",0,0.0757434561253022,0.52360695090374,-0.659965794511825,1.06888348065964,48,48
"broad_coherent","heteroskedastic",6,0,"null",2.01,"total",0,0.0189358640313255,0.130901737725935,-0.164991448627956,0.26722087016491,48,48
"broad_coherent","heteroskedastic",6,0,"null",2.01,"coherent",0,0.0029065733524736,0.0653887109486195,-0.0887965473047513,0.181128939017876,48,48
"broad_coherent","heteroskedastic",6,0,"null",2.01,"configuration",0,0.0160292906788519,0.118349828656898,-0.16804735346864,0.261145893629393,48,48
"broad_coherent","heteroskedastic",6,0,"null",2.01,"coherent_share",NA,0.371229015511757,2.51033912003461,-2.32856603207037,5.93052575737279,48,48
"broad_coherent","heteroskedastic",6,0,"null",4.01,"activation",0,0.0121980206355587,0.0642197132389943,-0.11179846014101,0.117519660738885,48,48
"broad_coherent","heteroskedastic",6,0,"null",4.01,"aggregate",0,0.0757434561253022,0.52360695090374,-0.659965794511825,1.06888348065964,48,48
"broad_coherent","heteroskedastic",6,0,"null",4.01,"total",0,0.0189358640313255,0.130901737725935,-0.164991448627956,0.26722087016491,48,48
"broad_coherent","heteroskedastic",6,0,"null",4.01,"coherent",0,0.00368696837705567,0.0514774574238252,-0.0707344434934974,0.132289132317042,48,48
"broad_coherent","heteroskedastic",6,0,"null",4.01,"configuration",0,0.0152488956542699,0.122259888262861,-0.170773854030815,0.252114066147678,48,48
"broad_coherent","heteroskedastic",6,0,"null",4.01,"coherent_share",NA,0.307006948924831,2.75088931297137,-2.53774262487152,10.0417772432094,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",0.01,"activation",0.2,0.212198020635559,0.0642197132389943,0.0882015398589905,0.317519660738885,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",0.01,"aggregate",0.68,0.838689996447102,0.714000636075959,-0.59758416455676,2.39334011357509,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",0.01,"total",0.17,0.209672499111775,0.17850015901899,-0.14939604113919,0.598335028393772,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",0.01,"coherent",0.17,0.209672499111775,0.17850015901899,-0.14939604113919,0.598335028393772,48,48
